[LINE:97]#2020-01-20 21:47:15,257: out_wallet nouce 25
[LINE:128]#2020-01-21 19:47:11,172: Wallet: 0x826fBD6116aBc377f5637da9fF19A983e31cc769 no balance WTP token
[LINE:115]#2020-01-21 19:47:12,174: ~Check 2 wallet 0x859B3B25fdAC92011A7530Dabed1A3bdda53cB76
[LINE:132]#2020-01-21 19:47:12,581: Wallet: 0x859B3B25fdAC92011A7530Dabed1A3bdda53cB76 balance WTP token 42000000000000000000
[LINE:136]#2020-01-21 19:47:12,848: Eth balance: 600000000000000
[LINE:152]#2020-01-21 19:47:12,849: Send 42000000000000000000 tokens to cold wallet .....
[LINE:159]#2020-01-21 19:47:13,120: not found wallet password for 0x859B3B25fdAC92011A7530Dabed1A3bdda53cB76
[LINE:115]#2020-01-21 19:47:14,122: ~Check 3 wallet 0x4A8dd2Dc8407C98221959fFBbc13b18321b9019e
[LINE:132]#2020-01-21 19:47:14,403: Wallet: 0x4A8dd2Dc8407C98221959fFBbc13b18321b9019e balance WTP token 65999999999999999631
[LINE:136]#2020-01-21 19:47:14,674: Eth balance: 10516661708652013
[LINE:152]#2020-01-21 19:47:14,674: Send 65999999999999999631 tokens to cold wallet .....
[LINE:159]#2020-01-21 19:47:14,946: not found wallet password for 0x4A8dd2Dc8407C98221959fFBbc13b18321b9019e
[LINE:115]#2020-01-21 19:47:15,947: ~Check 4 wallet 0x0a4Cf605398d44E338d62EE89F23c228a79Cadd8
[LINE:132]#2020-01-21 19:47:16,217: Wallet: 0x0a4Cf605398d44E338d62EE89F23c228a79Cadd8 balance WTP token 9000000000000000000
[LINE:136]#2020-01-21 19:47:16,971: Eth balance: 300000000000000
[LINE:152]#2020-01-21 19:47:16,972: Send 9000000000000000000 tokens to cold wallet .....
[LINE:159]#2020-01-21 19:47:17,284: not found wallet password for 0x0a4Cf605398d44E338d62EE89F23c228a79Cadd8
[LINE:115]#2020-01-21 19:47:18,285: ~Check 5 wallet 0xa9164E8C62a83A43a9f2E9Adaca0017647863B55
[LINE:132]#2020-01-21 19:47:18,564: Wallet: 0xa9164E8C62a83A43a9f2E9Adaca0017647863B55 balance WTP token 1000000000000000000
[LINE:136]#2020-01-21 19:47:18,841: Eth balance: 600000000000000
[LINE:152]#2020-01-21 19:47:18,841: Send 1000000000000000000 tokens to cold wallet .....
[LINE:159]#2020-01-21 19:47:19,140: not found wallet password for 0xa9164E8C62a83A43a9f2E9Adaca0017647863B55
[LINE:115]#2020-01-21 19:47:20,142: ~Check 6 wallet 0x0AeeDED13934D1E0BC74E98AF6B2b3366dBD5400
[LINE:128]#2020-01-21 19:47:20,420: Wallet: 0x0AeeDED13934D1E0BC74E98AF6B2b3366dBD5400 no balance WTP token
[LINE:115]#2020-01-21 19:47:21,422: ~Check 7 wallet 0xF2875B3F6340858dfbae07bD17246b6A0fd3A233
[LINE:132]#2020-01-21 19:47:21,705: Wallet: 0xF2875B3F6340858dfbae07bD17246b6A0fd3A233 balance WTP token 3000000000000000000
[LINE:136]#2020-01-21 19:47:21,983: Eth balance: 600000000000000
[LINE:152]#2020-01-21 19:47:21,983: Send 3000000000000000000 tokens to cold wallet .....
[LINE:159]#2020-01-21 19:47:22,249: not found wallet password for 0xF2875B3F6340858dfbae07bD17246b6A0fd3A233
[LINE:115]#2020-01-21 19:47:23,250: ~Check 8 wallet 0xB124D2A6Fb7ab631F1CA73ba2D0E508402494DA8
[LINE:128]#2020-01-21 19:47:23,530: Wallet: 0xB124D2A6Fb7ab631F1CA73ba2D0E508402494DA8 no balance WTP token
[LINE:115]#2020-01-21 19:47:24,532: ~Check 9 wallet 0x2Fe1f754F0c3024B55249B2f4636884Fc861215a
[LINE:128]#2020-01-21 19:47:24,810: Wallet: 0x2Fe1f754F0c3024B55249B2f4636884Fc861215a no balance WTP token
[LINE:115]#2020-01-21 19:47:25,812: ~Check 10 wallet 0x970f89024bcCCe175959A634e21B90081EBa2f7A
[LINE:128]#2020-01-21 19:47:26,090: Wallet: 0x970f89024bcCCe175959A634e21B90081EBa2f7A no balance WTP token
[LINE:115]#2020-01-21 19:47:27,091: ~Check 11 wallet 0xc20A823fDe761a737AC155dd25414063BA3Ba9E7
[LINE:128]#2020-01-21 19:47:27,391: Wallet: 0xc20A823fDe761a737AC155dd25414063BA3Ba9E7 no balance WTP token
[LINE:115]#2020-01-21 19:47:28,392: ~Check 12 wallet 0x0AeeDED13934D1E0BC74E98AF6B2b3366dBD5400
[LINE:128]#2020-01-21 19:47:28,726: Wallet: 0x0AeeDED13934D1E0BC74E98AF6B2b3366dBD5400 no balance WTP token
[LINE:115]#2020-01-21 19:47:29,728: ~Check 13 wallet 0xF2875B3F6340858dfbae07bD17246b6A0fd3A233
[LINE:132]#2020-01-21 19:47:30,026: Wallet: 0xF2875B3F6340858dfbae07bD17246b6A0fd3A233 balance WTP token 3000000000000000000
[LINE:136]#2020-01-21 19:47:30,299: Eth balance: 600000000000000
[LINE:152]#2020-01-21 19:47:30,300: Send 3000000000000000000 tokens to cold wallet .....
[LINE:159]#2020-01-21 19:47:30,585: not found wallet password for 0xF2875B3F6340858dfbae07bD17246b6A0fd3A233
[LINE:115]#2020-01-21 19:47:31,586: ~Check 14 wallet 0x2Fe1f754F0c3024B55249B2f4636884Fc861215a
[LINE:128]#2020-01-21 19:47:31,868: Wallet: 0x2Fe1f754F0c3024B55249B2f4636884Fc861215a no balance WTP token
[LINE:115]#2020-01-21 19:47:32,870: ~Check 15 wallet 0x826fBD6116aBc377f5637da9fF19A983e31cc769
[LINE:128]#2020-01-21 19:47:33,148: Wallet: 0x826fBD6116aBc377f5637da9fF19A983e31cc769 no balance WTP token
[LINE:115]#2020-01-21 19:47:34,150: ~Check 16 wallet 0x859B3B25fdAC92011A7530Dabed1A3bdda53cB76
[LINE:132]#2020-01-21 19:47:34,432: Wallet: 0x859B3B25fdAC92011A7530Dabed1A3bdda53cB76 balance WTP token 42000000000000000000
[LINE:136]#2020-01-21 19:47:34,726: Eth balance: 600000000000000
[LINE:152]#2020-01-21 19:47:34,726: Send 42000000000000000000 tokens to cold wallet .....
[LINE:159]#2020-01-21 19:47:35,018: not found wallet password for 0x859B3B25fdAC92011A7530Dabed1A3bdda53cB76
[LINE:115]#2020-01-21 19:47:36,020: ~Check 17 wallet 0x4A8dd2Dc8407C98221959fFBbc13b18321b9019e
[LINE:132]#2020-01-21 19:47:36,313: Wallet: 0x4A8dd2Dc8407C98221959fFBbc13b18321b9019e balance WTP token 65999999999999999631
[LINE:136]#2020-01-21 19:47:36,630: Eth balance: 10516661708652013
[LINE:152]#2020-01-21 19:47:36,631: Send 65999999999999999631 tokens to cold wallet .....
[LINE:159]#2020-01-21 19:47:36,949: not found wallet password for 0x4A8dd2Dc8407C98221959fFBbc13b18321b9019e
[LINE:115]#2020-01-21 19:47:37,951: ~Check 18 wallet 0x0a4Cf605398d44E338d62EE89F23c228a79Cadd8
[LINE:132]#2020-01-21 19:47:38,292: Wallet: 0x0a4Cf605398d44E338d62EE89F23c228a79Cadd8 balance WTP token 9000000000000000000
[LINE:136]#2020-01-21 19:47:38,574: Eth balance: 300000000000000
[LINE:152]#2020-01-21 19:47:38,574: Send 9000000000000000000 tokens to cold wallet .....
[LINE:159]#2020-01-21 19:47:38,841: not found wallet password for 0x0a4Cf605398d44E338d62EE89F23c228a79Cadd8
[LINE:115]#2020-01-21 19:47:39,842: ~Check 19 wallet 0xa9164E8C62a83A43a9f2E9Adaca0017647863B55
[LINE:132]#2020-01-21 19:47:40,123: Wallet: 0xa9164E8C62a83A43a9f2E9Adaca0017647863B55 balance WTP token 1000000000000000000
[LINE:136]#2020-01-21 19:47:40,470: Eth balance: 600000000000000
[LINE:152]#2020-01-21 19:47:40,470: Send 1000000000000000000 tokens to cold wallet .....
[LINE:159]#2020-01-21 19:47:41,017: not found wallet password for 0xa9164E8C62a83A43a9f2E9Adaca0017647863B55
[LINE:115]#2020-01-21 19:47:42,018: ~Check 20 wallet 0x0AeeDED13934D1E0BC74E98AF6B2b3366dBD5400
[LINE:128]#2020-01-21 19:47:42,297: Wallet: 0x0AeeDED13934D1E0BC74E98AF6B2b3366dBD5400 no balance WTP token
[LINE:115]#2020-01-21 19:47:43,298: ~Check 21 wallet 0xF2875B3F6340858dfbae07bD17246b6A0fd3A233
[LINE:132]#2020-01-21 19:47:43,566: Wallet: 0xF2875B3F6340858dfbae07bD17246b6A0fd3A233 balance WTP token 3000000000000000000
[LINE:136]#2020-01-21 19:47:43,833: Eth balance: 600000000000000
[LINE:152]#2020-01-21 19:47:43,833: Send 3000000000000000000 tokens to cold wallet .....
[LINE:159]#2020-01-21 19:47:44,131: not found wallet password for 0xF2875B3F6340858dfbae07bD17246b6A0fd3A233
[LINE:115]#2020-01-21 19:47:45,132: ~Check 22 wallet 0x2Fe1f754F0c3024B55249B2f4636884Fc861215a
[LINE:128]#2020-01-21 19:47:45,406: Wallet: 0x2Fe1f754F0c3024B55249B2f4636884Fc861215a no balance WTP token
[LINE:232]#2020-01-21 19:47:45,406: all transaction completed
[LINE:97]#2020-01-21 19:50:32,078: out_wallet nouce 35
[LINE:110]#2020-01-21 19:50:32,119: In table User_wallets found 22 wallets
[LINE:115]#2020-01-21 19:50:33,120: ~Check 1 wallet 0x826fBD6116aBc377f5637da9fF19A983e31cc769
[LINE:128]#2020-01-21 19:50:33,390: Wallet: 0x826fBD6116aBc377f5637da9fF19A983e31cc769 no balance WTP token
[LINE:115]#2020-01-21 19:50:34,392: ~Check 2 wallet 0x859B3B25fdAC92011A7530Dabed1A3bdda53cB76
[LINE:132]#2020-01-21 19:50:34,683: Wallet: 0x859B3B25fdAC92011A7530Dabed1A3bdda53cB76 balance WTP token 42000000000000000000
[LINE:136]#2020-01-21 19:50:34,952: Eth balance: 600000000000000
[LINE:152]#2020-01-21 19:50:34,952: Send 42000000000000000000 tokens to cold wallet .....
[LINE:159]#2020-01-21 19:50:35,697: not found wallet password for 0x859B3B25fdAC92011A7530Dabed1A3bdda53cB76
[LINE:115]#2020-01-21 19:50:36,698: ~Check 3 wallet 0x4A8dd2Dc8407C98221959fFBbc13b18321b9019e
[LINE:132]#2020-01-21 19:50:36,994: Wallet: 0x4A8dd2Dc8407C98221959fFBbc13b18321b9019e balance WTP token 65999999999999999631
[LINE:136]#2020-01-21 19:50:37,332: Eth balance: 10516661708652013
[LINE:152]#2020-01-21 19:50:37,333: Send 65999999999999999631 tokens to cold wallet .....
[LINE:159]#2020-01-21 19:50:37,604: not found wallet password for 0x4A8dd2Dc8407C98221959fFBbc13b18321b9019e
[LINE:115]#2020-01-21 19:50:38,606: ~Check 4 wallet 0x0a4Cf605398d44E338d62EE89F23c228a79Cadd8
[LINE:132]#2020-01-21 19:50:38,879: Wallet: 0x0a4Cf605398d44E338d62EE89F23c228a79Cadd8 balance WTP token 9000000000000000000
[LINE:136]#2020-01-21 19:50:39,151: Eth balance: 300000000000000
[LINE:152]#2020-01-21 19:50:39,151: Send 9000000000000000000 tokens to cold wallet .....
[LINE:159]#2020-01-21 19:50:39,426: not found wallet password for 0x0a4Cf605398d44E338d62EE89F23c228a79Cadd8
[LINE:115]#2020-01-21 19:50:40,428: ~Check 5 wallet 0xa9164E8C62a83A43a9f2E9Adaca0017647863B55
[LINE:132]#2020-01-21 19:50:41,166: Wallet: 0xa9164E8C62a83A43a9f2E9Adaca0017647863B55 balance WTP token 1000000000000000000
[LINE:136]#2020-01-21 19:50:41,435: Eth balance: 600000000000000
[LINE:152]#2020-01-21 19:50:41,436: Send 1000000000000000000 tokens to cold wallet .....
[LINE:159]#2020-01-21 19:50:41,744: not found wallet password for 0xa9164E8C62a83A43a9f2E9Adaca0017647863B55
[LINE:115]#2020-01-21 19:50:42,744: ~Check 6 wallet 0x0AeeDED13934D1E0BC74E98AF6B2b3366dBD5400
[LINE:128]#2020-01-21 19:50:43,019: Wallet: 0x0AeeDED13934D1E0BC74E98AF6B2b3366dBD5400 no balance WTP token
[LINE:115]#2020-01-21 19:50:44,021: ~Check 7 wallet 0xF2875B3F6340858dfbae07bD17246b6A0fd3A233
[LINE:132]#2020-01-21 19:50:44,451: Wallet: 0xF2875B3F6340858dfbae07bD17246b6A0fd3A233 balance WTP token 3000000000000000000
[LINE:136]#2020-01-21 19:50:44,730: Eth balance: 600000000000000
[LINE:152]#2020-01-21 19:50:44,731: Send 3000000000000000000 tokens to cold wallet .....
[LINE:159]#2020-01-21 19:50:45,100: not found wallet password for 0xF2875B3F6340858dfbae07bD17246b6A0fd3A233
[LINE:115]#2020-01-21 19:50:46,102: ~Check 8 wallet 0xB124D2A6Fb7ab631F1CA73ba2D0E508402494DA8
[LINE:128]#2020-01-21 19:50:46,387: Wallet: 0xB124D2A6Fb7ab631F1CA73ba2D0E508402494DA8 no balance WTP token
[LINE:115]#2020-01-21 19:50:47,388: ~Check 9 wallet 0x2Fe1f754F0c3024B55249B2f4636884Fc861215a
[LINE:128]#2020-01-21 19:50:47,699: Wallet: 0x2Fe1f754F0c3024B55249B2f4636884Fc861215a no balance WTP token
[LINE:115]#2020-01-21 19:50:48,700: ~Check 10 wallet 0x970f89024bcCCe175959A634e21B90081EBa2f7A
[LINE:128]#2020-01-21 19:50:48,969: Wallet: 0x970f89024bcCCe175959A634e21B90081EBa2f7A no balance WTP token
[LINE:115]#2020-01-21 19:50:49,970: ~Check 11 wallet 0xc20A823fDe761a737AC155dd25414063BA3Ba9E7
[LINE:128]#2020-01-21 19:50:50,336: Wallet: 0xc20A823fDe761a737AC155dd25414063BA3Ba9E7 no balance WTP token
[LINE:115]#2020-01-21 19:50:51,338: ~Check 12 wallet 0x0AeeDED13934D1E0BC74E98AF6B2b3366dBD5400
[LINE:128]#2020-01-21 19:50:51,621: Wallet: 0x0AeeDED13934D1E0BC74E98AF6B2b3366dBD5400 no balance WTP token
[LINE:115]#2020-01-21 19:50:52,622: ~Check 13 wallet 0xF2875B3F6340858dfbae07bD17246b6A0fd3A233
[LINE:132]#2020-01-21 19:50:52,896: Wallet: 0xF2875B3F6340858dfbae07bD17246b6A0fd3A233 balance WTP token 3000000000000000000
[LINE:136]#2020-01-21 19:50:53,168: Eth balance: 600000000000000
[LINE:152]#2020-01-21 19:50:53,169: Send 3000000000000000000 tokens to cold wallet .....
[LINE:159]#2020-01-21 19:50:53,907: not found wallet password for 0xF2875B3F6340858dfbae07bD17246b6A0fd3A233
[LINE:115]#2020-01-21 19:50:54,908: ~Check 14 wallet 0x2Fe1f754F0c3024B55249B2f4636884Fc861215a
[LINE:128]#2020-01-21 19:50:55,178: Wallet: 0x2Fe1f754F0c3024B55249B2f4636884Fc861215a no balance WTP token
[LINE:115]#2020-01-21 19:50:56,179: ~Check 15 wallet 0x826fBD6116aBc377f5637da9fF19A983e31cc769
[LINE:128]#2020-01-21 19:50:56,456: Wallet: 0x826fBD6116aBc377f5637da9fF19A983e31cc769 no balance WTP token
[LINE:115]#2020-01-21 19:50:57,458: ~Check 16 wallet 0x859B3B25fdAC92011A7530Dabed1A3bdda53cB76
[LINE:132]#2020-01-21 19:50:57,806: Wallet: 0x859B3B25fdAC92011A7530Dabed1A3bdda53cB76 balance WTP token 42000000000000000000
[LINE:136]#2020-01-21 19:50:58,102: Eth balance: 600000000000000
[LINE:152]#2020-01-21 19:50:58,102: Send 42000000000000000000 tokens to cold wallet .....
[LINE:159]#2020-01-21 19:50:58,400: not found wallet password for 0x859B3B25fdAC92011A7530Dabed1A3bdda53cB76
[LINE:115]#2020-01-21 19:50:59,401: ~Check 17 wallet 0x4A8dd2Dc8407C98221959fFBbc13b18321b9019e
[LINE:132]#2020-01-21 19:50:59,760: Wallet: 0x4A8dd2Dc8407C98221959fFBbc13b18321b9019e balance WTP token 65999999999999999631
[LINE:136]#2020-01-21 19:51:00,031: Eth balance: 10516661708652013
[LINE:152]#2020-01-21 19:51:00,032: Send 65999999999999999631 tokens to cold wallet .....
[LINE:159]#2020-01-21 19:51:00,375: not found wallet password for 0x4A8dd2Dc8407C98221959fFBbc13b18321b9019e
[LINE:115]#2020-01-21 19:51:01,376: ~Check 18 wallet 0x0a4Cf605398d44E338d62EE89F23c228a79Cadd8
[LINE:132]#2020-01-21 19:51:01,764: Wallet: 0x0a4Cf605398d44E338d62EE89F23c228a79Cadd8 balance WTP token 9000000000000000000
[LINE:136]#2020-01-21 19:51:02,158: Eth balance: 300000000000000
[LINE:152]#2020-01-21 19:51:02,159: Send 9000000000000000000 tokens to cold wallet .....
[LINE:159]#2020-01-21 19:51:02,965: not found wallet password for 0x0a4Cf605398d44E338d62EE89F23c228a79Cadd8
[LINE:115]#2020-01-21 19:51:03,967: ~Check 19 wallet 0xa9164E8C62a83A43a9f2E9Adaca0017647863B55
[LINE:132]#2020-01-21 19:51:04,358: Wallet: 0xa9164E8C62a83A43a9f2E9Adaca0017647863B55 balance WTP token 1000000000000000000
[LINE:136]#2020-01-21 19:51:04,644: Eth balance: 600000000000000
[LINE:152]#2020-01-21 19:51:04,645: Send 1000000000000000000 tokens to cold wallet .....
[LINE:159]#2020-01-21 19:51:04,925: not found wallet password for 0xa9164E8C62a83A43a9f2E9Adaca0017647863B55
[LINE:115]#2020-01-21 19:51:05,927: ~Check 20 wallet 0x0AeeDED13934D1E0BC74E98AF6B2b3366dBD5400
[LINE:128]#2020-01-21 19:51:06,253: Wallet: 0x0AeeDED13934D1E0BC74E98AF6B2b3366dBD5400 no balance WTP token
[LINE:115]#2020-01-21 19:51:07,254: ~Check 21 wallet 0xF2875B3F6340858dfbae07bD17246b6A0fd3A233
[LINE:132]#2020-01-21 19:51:07,574: Wallet: 0xF2875B3F6340858dfbae07bD17246b6A0fd3A233 balance WTP token 3000000000000000000
[LINE:136]#2020-01-21 19:51:07,863: Eth balance: 600000000000000
[LINE:152]#2020-01-21 19:51:07,863: Send 3000000000000000000 tokens to cold wallet .....
[LINE:159]#2020-01-21 19:51:08,235: not found wallet password for 0xF2875B3F6340858dfbae07bD17246b6A0fd3A233
[LINE:115]#2020-01-21 19:51:09,237: ~Check 22 wallet 0x2Fe1f754F0c3024B55249B2f4636884Fc861215a
[LINE:128]#2020-01-21 19:51:09,522: Wallet: 0x2Fe1f754F0c3024B55249B2f4636884Fc861215a no balance WTP token
[LINE:232]#2020-01-21 19:51:09,522: all transaction completed
[LINE:97]#2020-01-21 20:06:54,368: out_wallet nouce 35
[LINE:97]#2020-01-21 20:09:01,816: out_wallet nouce 35
[LINE:97]#2020-01-21 20:09:09,187: out_wallet nouce 35
[LINE:97]#2020-01-21 20:10:20,647: out_wallet nouce 35
[LINE:97]#2020-01-21 20:11:20,430: out_wallet nouce 35
[LINE:110]#2020-01-21 20:11:20,520: In table User_wallets found 22 wallets
[LINE:115]#2020-01-21 20:11:21,522: ~Check 1 wallet 0x826fBD6116aBc377f5637da9fF19A983e31cc769
[LINE:128]#2020-01-21 20:11:21,828: Wallet: 0x826fBD6116aBc377f5637da9fF19A983e31cc769 no balance WTP token
[LINE:115]#2020-01-21 20:11:22,830: ~Check 2 wallet 0x859B3B25fdAC92011A7530Dabed1A3bdda53cB76
[LINE:132]#2020-01-21 20:11:23,115: Wallet: 0x859B3B25fdAC92011A7530Dabed1A3bdda53cB76 balance WTP token 42000000000000000000
[LINE:136]#2020-01-21 20:11:23,961: Eth balance: 600000000000000
[LINE:152]#2020-01-21 20:11:23,961: Send 42000000000000000000 tokens to cold wallet .....
[LINE:159]#2020-01-21 20:11:24,240: not found wallet password for 0x859B3B25fdAC92011A7530Dabed1A3bdda53cB76
[LINE:115]#2020-01-21 20:11:25,241: ~Check 3 wallet 0x4A8dd2Dc8407C98221959fFBbc13b18321b9019e
[LINE:132]#2020-01-21 20:11:25,518: Wallet: 0x4A8dd2Dc8407C98221959fFBbc13b18321b9019e balance WTP token 65999999999999999631
[LINE:136]#2020-01-21 20:11:25,912: Eth balance: 10516661708652013
[LINE:152]#2020-01-21 20:11:25,913: Send 65999999999999999631 tokens to cold wallet .....
[LINE:159]#2020-01-21 20:11:26,199: not found wallet password for 0x4A8dd2Dc8407C98221959fFBbc13b18321b9019e
[LINE:115]#2020-01-21 20:11:27,201: ~Check 4 wallet 0x0a4Cf605398d44E338d62EE89F23c228a79Cadd8
[LINE:132]#2020-01-21 20:11:27,477: Wallet: 0x0a4Cf605398d44E338d62EE89F23c228a79Cadd8 balance WTP token 9000000000000000000
[LINE:136]#2020-01-21 20:11:27,766: Eth balance: 300000000000000
[LINE:152]#2020-01-21 20:11:27,767: Send 9000000000000000000 tokens to cold wallet .....
[LINE:159]#2020-01-21 20:11:28,043: not found wallet password for 0x0a4Cf605398d44E338d62EE89F23c228a79Cadd8
[LINE:115]#2020-01-21 20:11:29,044: ~Check 5 wallet 0xa9164E8C62a83A43a9f2E9Adaca0017647863B55
[LINE:132]#2020-01-21 20:11:29,322: Wallet: 0xa9164E8C62a83A43a9f2E9Adaca0017647863B55 balance WTP token 1000000000000000000
[LINE:136]#2020-01-21 20:11:29,599: Eth balance: 600000000000000
[LINE:152]#2020-01-21 20:11:29,600: Send 1000000000000000000 tokens to cold wallet .....
[LINE:159]#2020-01-21 20:11:29,876: not found wallet password for 0xa9164E8C62a83A43a9f2E9Adaca0017647863B55
[LINE:115]#2020-01-21 20:11:30,877: ~Check 6 wallet 0x0AeeDED13934D1E0BC74E98AF6B2b3366dBD5400
[LINE:128]#2020-01-21 20:11:31,190: Wallet: 0x0AeeDED13934D1E0BC74E98AF6B2b3366dBD5400 no balance WTP token
[LINE:115]#2020-01-21 20:11:32,192: ~Check 7 wallet 0xF2875B3F6340858dfbae07bD17246b6A0fd3A233
[LINE:132]#2020-01-21 20:11:32,471: Wallet: 0xF2875B3F6340858dfbae07bD17246b6A0fd3A233 balance WTP token 3000000000000000000
[LINE:136]#2020-01-21 20:11:32,742: Eth balance: 600000000000000
[LINE:152]#2020-01-21 20:11:32,743: Send 3000000000000000000 tokens to cold wallet .....
[LINE:159]#2020-01-21 20:11:33,381: not found wallet password for 0xF2875B3F6340858dfbae07bD17246b6A0fd3A233
[LINE:115]#2020-01-21 20:11:34,383: ~Check 8 wallet 0xB124D2A6Fb7ab631F1CA73ba2D0E508402494DA8
[LINE:128]#2020-01-21 20:11:34,692: Wallet: 0xB124D2A6Fb7ab631F1CA73ba2D0E508402494DA8 no balance WTP token
[LINE:115]#2020-01-21 20:11:35,694: ~Check 9 wallet 0x2Fe1f754F0c3024B55249B2f4636884Fc861215a
[LINE:128]#2020-01-21 20:11:35,980: Wallet: 0x2Fe1f754F0c3024B55249B2f4636884Fc861215a no balance WTP token
[LINE:115]#2020-01-21 20:11:36,981: ~Check 10 wallet 0x970f89024bcCCe175959A634e21B90081EBa2f7A
[LINE:128]#2020-01-21 20:11:37,277: Wallet: 0x970f89024bcCCe175959A634e21B90081EBa2f7A no balance WTP token
[LINE:115]#2020-01-21 20:11:38,278: ~Check 11 wallet 0xc20A823fDe761a737AC155dd25414063BA3Ba9E7
[LINE:128]#2020-01-21 20:11:38,625: Wallet: 0xc20A823fDe761a737AC155dd25414063BA3Ba9E7 no balance WTP token
[LINE:115]#2020-01-21 20:11:39,627: ~Check 12 wallet 0x0AeeDED13934D1E0BC74E98AF6B2b3366dBD5400
[LINE:128]#2020-01-21 20:11:40,035: Wallet: 0x0AeeDED13934D1E0BC74E98AF6B2b3366dBD5400 no balance WTP token
[LINE:115]#2020-01-21 20:11:41,036: ~Check 13 wallet 0xF2875B3F6340858dfbae07bD17246b6A0fd3A233
[LINE:132]#2020-01-21 20:11:41,322: Wallet: 0xF2875B3F6340858dfbae07bD17246b6A0fd3A233 balance WTP token 3000000000000000000
[LINE:136]#2020-01-21 20:11:41,617: Eth balance: 600000000000000
[LINE:152]#2020-01-21 20:11:41,617: Send 3000000000000000000 tokens to cold wallet .....
[LINE:159]#2020-01-21 20:11:42,364: not found wallet password for 0xF2875B3F6340858dfbae07bD17246b6A0fd3A233
[LINE:115]#2020-01-21 20:11:43,364: ~Check 14 wallet 0x2Fe1f754F0c3024B55249B2f4636884Fc861215a
[LINE:128]#2020-01-21 20:11:43,650: Wallet: 0x2Fe1f754F0c3024B55249B2f4636884Fc861215a no balance WTP token
[LINE:115]#2020-01-21 20:11:44,652: ~Check 15 wallet 0x826fBD6116aBc377f5637da9fF19A983e31cc769
[LINE:128]#2020-01-21 20:11:44,940: Wallet: 0x826fBD6116aBc377f5637da9fF19A983e31cc769 no balance WTP token
[LINE:115]#2020-01-21 20:11:45,941: ~Check 16 wallet 0x859B3B25fdAC92011A7530Dabed1A3bdda53cB76
[LINE:132]#2020-01-21 20:11:46,246: Wallet: 0x859B3B25fdAC92011A7530Dabed1A3bdda53cB76 balance WTP token 42000000000000000000
[LINE:136]#2020-01-21 20:11:46,697: Eth balance: 600000000000000
[LINE:152]#2020-01-21 20:11:46,697: Send 42000000000000000000 tokens to cold wallet .....
[LINE:159]#2020-01-21 20:11:47,787: not found wallet password for 0x859B3B25fdAC92011A7530Dabed1A3bdda53cB76
[LINE:115]#2020-01-21 20:11:48,788: ~Check 17 wallet 0x4A8dd2Dc8407C98221959fFBbc13b18321b9019e
[LINE:132]#2020-01-21 20:11:49,093: Wallet: 0x4A8dd2Dc8407C98221959fFBbc13b18321b9019e balance WTP token 65999999999999999631
[LINE:136]#2020-01-21 20:11:49,374: Eth balance: 10516661708652013
[LINE:152]#2020-01-21 20:11:49,375: Send 65999999999999999631 tokens to cold wallet .....
[LINE:159]#2020-01-21 20:11:50,159: not found wallet password for 0x4A8dd2Dc8407C98221959fFBbc13b18321b9019e
[LINE:115]#2020-01-21 20:11:51,161: ~Check 18 wallet 0x0a4Cf605398d44E338d62EE89F23c228a79Cadd8
[LINE:132]#2020-01-21 20:11:51,455: Wallet: 0x0a4Cf605398d44E338d62EE89F23c228a79Cadd8 balance WTP token 9000000000000000000
[LINE:136]#2020-01-21 20:11:51,736: Eth balance: 300000000000000
[LINE:152]#2020-01-21 20:11:51,737: Send 9000000000000000000 tokens to cold wallet .....
[LINE:159]#2020-01-21 20:11:52,013: not found wallet password for 0x0a4Cf605398d44E338d62EE89F23c228a79Cadd8
[LINE:115]#2020-01-21 20:11:53,014: ~Check 19 wallet 0xa9164E8C62a83A43a9f2E9Adaca0017647863B55
[LINE:132]#2020-01-21 20:11:53,784: Wallet: 0xa9164E8C62a83A43a9f2E9Adaca0017647863B55 balance WTP token 1000000000000000000
[LINE:136]#2020-01-21 20:11:54,565: Eth balance: 600000000000000
[LINE:152]#2020-01-21 20:11:54,565: Send 1000000000000000000 tokens to cold wallet .....
[LINE:159]#2020-01-21 20:11:54,846: not found wallet password for 0xa9164E8C62a83A43a9f2E9Adaca0017647863B55
[LINE:115]#2020-01-21 20:11:55,848: ~Check 20 wallet 0x0AeeDED13934D1E0BC74E98AF6B2b3366dBD5400
[LINE:128]#2020-01-21 20:11:56,147: Wallet: 0x0AeeDED13934D1E0BC74E98AF6B2b3366dBD5400 no balance WTP token
[LINE:115]#2020-01-21 20:11:57,148: ~Check 21 wallet 0xF2875B3F6340858dfbae07bD17246b6A0fd3A233
[LINE:132]#2020-01-21 20:11:57,443: Wallet: 0xF2875B3F6340858dfbae07bD17246b6A0fd3A233 balance WTP token 3000000000000000000
[LINE:136]#2020-01-21 20:11:57,715: Eth balance: 600000000000000
[LINE:152]#2020-01-21 20:11:57,716: Send 3000000000000000000 tokens to cold wallet .....
[LINE:159]#2020-01-21 20:11:57,989: not found wallet password for 0xF2875B3F6340858dfbae07bD17246b6A0fd3A233
[LINE:115]#2020-01-21 20:11:58,991: ~Check 22 wallet 0x2Fe1f754F0c3024B55249B2f4636884Fc861215a
[LINE:128]#2020-01-21 20:11:59,273: Wallet: 0x2Fe1f754F0c3024B55249B2f4636884Fc861215a no balance WTP token
